age,team_name_abbr,comp_name_abbr,pos,games,games_started,mp_per_g,fg_per_g,fga_per_g,fg_pct,fg3_per_g,fg3a_per_g,fg3_pct,fg2_per_g,fg2a_per_g,fg2_pct,efg_pct,ft_per_g,fta_per_g,ft_pct,orb_per_g,drb_per_g,trb_per_g,ast_per_g,stl_per_g,blk_per_g,tov_per_g,pf_per_g,pts_per_g,awards,season,player
25,OKC,NBA,SF,81,81,38.5,10.5,20.8,.503,2.4,6.1,.391,8.1,14.8,.549,.560,8.7,9.9,.873,0.7,6.7,7.4,5.5,1.3,0.7,3.5,2.1,32.0,"MVP-1,AS,NBA1",2013-14,Kevin Durant
28,MIA,NBA,PF,76,76,37.9,10.1,17.8,.565,1.4,3.3,.406,8.7,14.5,.602,.603,5.3,7.0,.753,1.3,6.8,8.0,7.3,1.7,0.9,3.0,1.4,26.8,"MVP-1,DPOY-2,AS,NBA1",2012-13,LeBron James
27,MIA,NBA,SF,62,62,37.5,10.0,18.9,.531,0.9,2.4,.362,9.1,16.5,.556,.554,6.2,8.1,.771,1.5,6.4,7.9,6.2,1.9,0.8,3.4,1.5,27.1,"MVP-1,DPOY-4,AS,NBA1",2011-12,LeBron James
22,CHI,NBA,PG,81,81,37.4,8.8,19.7,.445,1.6,4.8,.332,7.2,15.0,.481,.485,5.9,6.9,.858,1.0,3.1,4.1,7.7,1.0,0.6,3.4,1.7,25.0,"MVP-1,AS,NBA1",2010-11,Derrick Rose
25,CLE,NBA,SF,76,76,39.0,10.1,20.1,.503,1.7,5.1,.333,8.4,15.0,.560,.545,7.8,10.2,.767,0.9,6.4,7.3,8.6,1.6,1.0,3.4,1.6,29.7,"MVP-1,DPOY-4,AS,NBA1",2009-10,LeBron James
24,CLE,NBA,SF,81,81,37.7,9.7,19.9,.489,1.6,4.7,.344,8.1,15.2,.535,.530,7.3,9.4,.780,1.3,6.3,7.6,7.2,1.7,1.1,3.0,1.7,28.4,"MVP-1,DPOY-2,AS,NBA1",2008-09,LeBron James
29,LAL,NBA,SG,82,82,38.9,9.5,20.6,.459,1.8,5.1,.361,7.6,15.5,.490,.503,7.6,9.0,.840,1.1,5.2,6.3,5.4,1.8,0.5,3.1,2.8,28.3,"MVP-1,DPOY-5,AS,NBA1",2007-08,Kobe Bryant
28,DAL,NBA,PF,78,78,36.2,8.6,17.2,.502,0.9,2.2,.416,7.7,15.0,.515,.529,6.4,7.1,.904,1.6,7.3,8.9,3.4,0.7,0.8,2.1,2.2,24.6,"MVP-1,AS,NBA1",2006-07,Dirk Nowitzki
31,PHO,NBA,PG,79,79,35.4,6.8,13.4,.512,1.9,4.3,.439,4.9,9.0,.548,.583,3.3,3.5,.921,0.6,3.6,4.2,10.5,0.8,0.2,3.5,1.5,18.8,"MVP-1,AS,NBA1",2005-06,Steve Nash
30,PHO,NBA,PG,75,75,34.3,5.7,11.4,.502,1.3,2.9,.431,4.5,8.5,.526,.557,2.8,3.2,.887,0.8,2.6,3.3,11.5,1.0,0.1,3.3,1.8,15.5,"MVP-1,AS,NBA1",2004-05,Steve Nash
27,MIN,NBA,PF,82,82,39.4,9.8,19.6,.499,0.1,0.5,.256,9.7,19.1,.506,.502,4.5,5.7,.791,3.0,10.9,13.9,5.0,1.5,2.2,2.6,2.5,24.2,"MVP-1,DPOY-6,AS,NBA1",2003-04,Kevin Garnett
26,SAS,NBA,PF,81,81,39.3,8.8,17.2,.513,0.1,0.3,.273,8.7,16.9,.517,.515,5.6,7.8,.710,3.2,9.7,12.9,3.9,0.7,2.9,3.1,2.9,23.3,"MVP-1,DPOY-4,AS,NBA1",2002-03,Tim Duncan
